#batch_size	mean_ms	stddev_ms	throughput_samples_per_sec	sigma_throughput
1	1.99796	0.1529	512522	39222.3
2	1.02911	0.0935194	995038	90423.4
4	0.561332	0.059015	1.82423e+06	191788
8	0.351617	0.0408667	2.91226e+06	338477
16	0.223157	0.0299097	4.58869e+06	615020
32	0.164055	0.0148138	6.2418e+06	563619
64	0.133505	0.0183621	7.6701e+06	1.05493e+06
128	0.118318	0.0156444	8.65465e+06	1.14435e+06
256	0.113197	0.0169279	9.04616e+06	1.3528e+06
512	0.107696	0.0166492	9.50824e+06	1.46992e+06
1024	0.107562	0.0143159	9.52009e+06	1.26707e+06
