#batch_size	mean_ms	stddev_ms	throughput_samples_per_sec	sigma_throughput
1	1.99944	0.16152	512143	41372.1
2	1.0297	0.107463	994462	103785
4	0.580576	0.0728655	1.76377e+06	221362
8	0.34556	0.0515081	2.96331e+06	441702
16	0.245688	0.0464676	4.16789e+06	788286
32	0.163267	0.0321238	6.27195e+06	1.23405e+06
64	0.124441	0.0223302	8.22879e+06	1.47661e+06
128	0.103052	0.0234033	9.93673e+06	2.25665e+06
256	0.0921491	0.0201732	1.11124e+07	2.43273e+06
512	0.0834075	0.0188599	1.22771e+07	2.77607e+06
1024	0.0744048	0.0166603	1.37625e+07	3.08163e+06
