#batch_size	mean_ms	stddev_ms	throughput_samples_per_sec	sigma_throughput
1	2.08165	0.149589	491917	35349.4
2	1.07945	0.101857	948629	89512.4
4	0.588976	0.064549	1.73861e+06	190544
8	0.336187	0.0565591	3.04592e+06	512437
16	0.256971	0.0609685	3.98488e+06	945445
32	0.171341	0.0329665	5.97637e+06	1.14987e+06
64	0.128785	0.0311704	7.95126e+06	1.92448e+06
128	0.0987844	0.0218231	1.0366e+07	2.29002e+06
256	0.0824853	0.0178689	1.24143e+07	2.68933e+06
512	0.0794971	0.0163388	1.2881e+07	2.64739e+06
1024	0.0732693	0.0203173	1.39758e+07	3.87544e+06
