#batch_size	mean_ms	stddev_ms	throughput_samples_per_sec	sigma_throughput
1	6.77792	0.363846	151079	8110.06
2	5.78033	1.5807	177153	48444.5
4	2.95756	0.646233	346231	75652.3
8	1.37669	0.264351	743813	142827
16	0.762187	0.1325	1.3435e+06	233557
32	0.456355	0.0961238	2.24387e+06	472635
64	0.407006	0.0976852	2.51594e+06	603849
128	0.226113	0.0505433	4.52872e+06	1.01231e+06
256	0.178202	0.0476164	5.7463e+06	1.53544e+06
512	0.162033	0.0422909	6.31969e+06	1.64945e+06
1024	0.213747	0.0473798	4.79071e+06	1.06193e+06
